time,open,high,low,close
2015-01-05,16.34832576,16.6801828,16.07760028,16.54045352
2015-01-06,16.5055212,16.79371284,16.34832576,16.73258128
2015-01-07,16.75004744,16.75004744,16.42692348,16.47932196
2015-01-08,16.4181904,16.61031816,16.31339344,16.47932196
2015-01-09,16.40072424,16.6801828,16.34832576,16.45312272
2015-01-12,16.43565656,16.51425428,16.08633336,16.16493108
2015-01-13,16.17366416,16.40072424,16.17366416,16.40072424
2015-01-14,16.45312272,16.75878052,16.25226188,16.69764896
2015-01-15,16.69764896,16.9421752,16.61031816,16.7238482
2015-01-16,16.75878052,16.8985098,16.55791968,16.83737824
2015-01-19,16.66271664,17.18670144,16.3308596,16.61031816
2015-01-20,16.68891588,17.54475772,16.68891588,17.52729156
2015-01-21,17.47489308,17.85041552,17.43122768,17.66702084
2015-01-22,17.66702084,17.66702084,17.66702084,17.66702084
2015-01-23,17.66702084,17.66702084,17.66702084,17.66702084
2015-01-26,17.66702084,17.66702084,17.66702084,17.66702084
2015-01-27,17.66702084,17.66702084,17.66702084,17.66702084
2015-01-28,17.66702084,17.66702084,17.66702084,17.66702084
2015-01-29,17.65828776,18.54906192,17.46616,17.88534784
2015-01-30,17.902814,18.339468,17.8154832,17.8591486
2015-02-02,17.5534908,17.8591486,17.38756228,17.75435164
2015-02-03,17.66702084,17.97267864,17.66702084,17.82421628
2015-02-04,17.84168244,17.88534784,17.48362616,17.5534908
2015-02-05,17.60588928,17.66702084,17.16923528,17.16923528
2015-02-06,17.247833,17.247833,16.70638204,16.7675136
2015-02-09,16.74131436,16.9858406,16.57538584,16.61031816
2015-02-10,16.61031816,17.27403224,16.60158508,17.25656608
2015-02-11,17.28276532,17.43122768,17.09937064,17.3351638
2015-02-12,17.34389688,17.40502844,17.18670144,17.32643072
2015-02-13,17.3788292,17.8154832,17.3351638,17.65828776
2015-02-16,17.684487,18.04254328,17.63208852,17.82421628
2015-02-17,17.88534784,17.98141172,17.5971562,17.82421628
2015-02-25,17.84168244,17.84168244,17.49235924,17.50109232
2015-02-26,17.46616,17.76308472,17.46616,17.71941932
2015-02-27,17.79801704,18.19973872,17.64955468,18.13860716
2015-03-02,18.30453568,19.9550878,18.14734024,19.9550878
2015-03-03,19.9550878,20.51400492,19.75422696,20.14721556
2015-03-04,19.98128704,20.37427564,19.7367608,20.33934332
2015-03-05,20.1297494,21.8327,20.1297494,21.12532052
2015-03-06,21.15151976,21.43097832,20.44414028,20.4790726
2015-03-09,20.4354072,21.02052356,19.78915928,20.68866652
2015-03-10,20.58386956,21.15151976,20.12101632,20.93319276
2015-03-11,20.959392,21.9200308,20.93319276,21.9200308
2015-03-12,21.7890346,21.91129772,21.1340536,21.57944068
2015-03-13,21.68423764,21.68423764,21.20391824,21.55324144
2015-03-16,21.4833768,21.9200308,21.4833768,21.82396692
2015-03-17,21.90256464,22.0946924,21.2213844,21.51830912
2015-03-18,21.46591064,21.91129772,21.396046,21.71916996
2015-03-19,21.72790304,22.924335,21.29124904,22.67107568
2015-03-20,22.60121104,24.34782704,22.34795172,23.4483198
2015-03-23,23.32605668,24.25176316,22.269354,23.90243996
2015-03-24,23.82384224,23.82384224,22.73220724,23.23872588
2015-03-25,22.9680004,24.42642476,22.71474108,24.30416164
2015-03-26,23.9286392,25.03774036,23.60551524,23.82384224
